im looking for a moderately priced restaurant that serves;inform 
looking for a modernity priced restaurant in the south part of town;inform 
i want a restaurant that serves portuguese food;inform 
okay ill be there one sec;null 
a post code;request 
i want a moderately priced restaurant in the north part of town;inform 
looking for portuguese food in the south part of town;inform 
i want to find a expensive restaurant that serves mediterranean;inform 
and the post code of the venue;request 
i want an expensive afghan restaurant;inform 
uh european food;inform 
i want a restaurant in the north par;inform 
i dont want that;deny 
i am looking for a restaurant in the north part of town it shou;inform 
mediterranean restaurant in any part of town;inform 
mediterranean restaurant in any area;inform 
what is the post co;request 
hi i would like an expensive restaurant in the east part;hello 
can i have their address;request 
post the phone number;request 
yes can i have an expensive restaurant in the east;affirm 
can i have a restaurant in the north;inform 
okay what was the first one;null 
okay the address;request 
i want a restaurant in the south part of town;inform 
free food;inform 
uh no price range whats the;request 
uh moderately price;inform 
um a cheap restaurant in the west part of town;inform 
um any type;inform 
the west part;inform 
let me get the address;request 
im looking for jamaican food in the south part of town;inform 
id like to find a restaurant serving portuguese food;inform 
what was;null 
next restaurant;inform 
im looking for a restaurant that serves m;inform 
i do i dont care;inform 
i want a moderately priced restaurant in the south part of town;inform 
moderately priced catalan food;inform 
in the center yes;affirm 
no not noise;negate 
looking for a restaurant noise in the east part of town;inform 
noise ease part of town east;inform 
how bout irish food noise;inform 
irish food noise;inform 
irish food on the east part of town;inform 
how about indian noise;reqalts 
any price range noise;inform 
noise can i get the address and phone number;request 
and the address noise;request 
im looking for a restaurant in the center of town that;inform 
modern euorpean;inform 
i need a restaurant serving af;inform 
i dont care about price;inform 
i need a restaurant;inform 
i need a restaurant serving modern european food;inform 
i would like to find a cheap restaurant in the south part of town;inform 
i want to find a restaurant in the north part of town and it should serve;inform 
im looking for a restaurant in the center serving russian food;inform 
im looking for portuguese food;inform 
iam looking for a restaurant that serves portuguese food;inform 
im looking for an expensive restaurant and it should serve unusual food;inform 
im looking for a cheap restaurant in the south;inform 
i want a cheap restaurant in the west part of town;inform 
what is;null 
i am searching for a moderately priced restaurant in the east part of;inform 
is there another restaurant;reqalts 
is there another restaurant in the moderately price range in the east part of town;reqalts 
dont care is there anything else;reqalts 
is there another;reqalts 
is there any;null 
i am looking;inform 
for a;null 
i am looking for a moderately priced restaurant in the;inform 
